Loan_ID,Group_ID,Group_Size,Years_in_Group,Group_Savings,Group_Loan_Repayment_Rate,Meeting_Attendance_Pct,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000025,WSHG0192,13,6,76693.91,0.95,58.4,Female,Yes,0,Not Graduate,No,7613,2829,398.0,180,0.0,Semiurban,N
LP000026,WSHG0188,13,14,28547.5,0.92,65.5,Female,No,3+,Graduate,Yes,4063,2209,375.0,480,1.0,Rural,Y
LP000027,WSHG0021,14,7,71630.28,0.85,75.2,Female,Yes,1,Graduate,Yes,9998,4812,,480,1.0,Rural,Y
LP000028,WSHG0161,17,5,50220.72,0.9,89.8,Female,Yes,0,Graduate,Yes,9631,1400,54.0,240,1.0,Rural,Y
LP000029,WSHG0058,14,13,67003.05,0.66,87.0,Female,Yes,1,Not Graduate,No,10223,566,70.0,360,0.0,Urban,N
LP000030,WSHG0022,17,6,78800.99,0.78,82.3,Female,No,0,Graduate,Yes,4196,1473,98.0,300,1.0,Rural,Y
LP000031,WSHG0089,19,5,26630.41,0.74,57.8,Female,Yes,1,Not Graduate,No,6187,1987,33.0,300,,Semiurban,N
LP000032,WSHG0049,10,14,77085.16,0.64,77.4,Female,Yes,1,Not Graduate,Yes,8821,3787,269.0,240,1.0,Semiurban,Y
LP000033,WSHG0059,19,7,34211.14,0.79,54.4,Female,Yes,1,Graduate,Yes,8513,3865,390.0,120,1.0,Semiurban,Y
LP000034,WSHG0170,18,2,33913.39,0.97,68.9,Female,No,2,Not Graduate,No,9204,3260,60.0,240,1.0,Semiurban,Y
LP000035,WSHG0188,15,14,30529.03,0.62,70.7,Female,No,3+,Graduate,Yes,7071,3547,146.0,180,1.0,Rural,Y
LP000036,WSHG0015,12,11,45605.57,0.72,52.0,Female,Yes,2,Not Graduate,Yes,8836,3251,224.0,480,0.0,Rural,N
LP000037,WSHG0190,17,5,16560.88,0.68,63.7,Female,No,1,Graduate,Yes,1558,1716,119.0,360,1.0,Rural,Y
LP000038,WSHG0190,18,6,46528.36,0.7,97.8,Female,Yes,2,Graduate,Yes,11265,1012,207.0,360,0.0,Rural,N
LP000039,WSHG0175,15,6,45627.86,0.96,97.7,Female,Yes,3+,Graduate,Yes,2640,1310,174.0,360,0.0,Rural,N
LP000040,WSHG0190,16,5,62142.64,0.79,67.6,Female,Yes,0,Not Graduate,Yes,11502,4570,231.0,180,,Rural,N
LP000041,WSHG0051,10,10,67523.75,0.79,52.2,Female,Yes,1,Graduate,Yes,4062,617,351.0,480,0.0,Urban,N
LP000042,WSHG0108,14,7,38033.1,0.9,59.0,Female,No,0,Graduate,Yes,4352,4736,373.0,360,0.0,Urban,N
LP000043,WSHG0055,14,10,27674.99,0.66,69.6,Female,No,0,Not Graduate,No,8141,4257,232.0,300,1.0,Rural,N
LP000044,WSHG0064,19,8,24450.12,0.79,97.4,Female,Yes,2,Not Graduate,No,2441,1982,53.0,180,1.0,Rural,Y
LP000045,WSHG0131,13,7,19596.79,0.77,57.1,Female,Yes,3+,Not Graduate,Yes,8041,2228,384.0,360,1.0,Rural,Y
LP000046,WSHG0051,15,5,9323.57,0.84,88.2,Female,No,0,Graduate,Yes,11466,4820,134.0,360,0.0,Rural,N
LP000047,WSHG0135,16,1,30683.6,1.0,55.4,Female,No,2,Not Graduate,Yes,8930,468,,360,1.0,Rural,Y
LP000048,WSHG0021,18,13,25268.58,0.91,99.1,Female,Yes,3+,Not Graduate,,2921,4116,351.0,180,1.0,Urban,Y
LP000049,WSHG0073,10,5,77481.3,0.76,69.1,Female,No,3+,Graduate,Yes,7265,4355,89.0,180,1.0,Rural,Y
LP000050,WSHG0167,15,10,46828.16,0.93,88.8,Female,Yes,0,Not Graduate,Yes,1935,1139,44.0,360,0.0,Rural,N
LP000051,WSHG0018,16,2,31045.78,0.67,67.1,Female,Yes,3+,Graduate,Yes,2339,1436,114.0,360,1.0,Rural,Y
LP000052,WSHG0132,12,13,48535.07,0.61,81.4,Female,No,1,Not Graduate,Yes,5501,536,226.0,120,1.0,Urban,Y
LP000053,WSHG0089,17,5,15439.75,0.68,59.6,Female,Yes,1,Graduate,Yes,6748,951,264.0,300,1.0,Urban,Y
LP000054,WSHG0060,14,5,38303.28,0.74,57.3,Female,Yes,0,Not Graduate,No,6459,2813,373.0,360,1.0,Semiurban,Y
LP000055,WSHG0014,18,2,51967.57,0.8,96.9,Female,Yes,0,Graduate,Yes,3150,3006,292.0,360,1.0,Rural,Y
LP000056,WSHG0009,14,5,41667.34,0.85,95.9,Female,No,2,Not Graduate,No,7328,3994,35.0,300,1.0,Rural,Y
LP000057,WSHG0090,18,13,35133.41,0.96,94.4,Female,No,1,Graduate,No,10937,1840,318.0,300,1.0,Rural,Y
LP000058,WSHG0053,19,4,79538.63,0.8,81.3,Female,Yes,0,Not Graduate,Yes,3761,850,87.0,360,0.0,Rural,N
LP000059,WSHG0130,13,1,71023.61,0.8,90.4,Female,Yes,0,Not Graduate,Yes,10607,1971,174.0,480,1.0,Semiurban,Y
LP000060,WSHG0084,18,3,51755.45,0.62,53.5,Female,Yes,2,Graduate,Yes,7394,1191,395.0,240,,Rural,Y
LP000061,WSHG0092,14,1,47703.3,0.61,66.7,Female,Yes,0,Not Graduate,Yes,7778,3920,71.0,240,1.0,Rural,Y
LP000062,WSHG0111,19,12,51549.54,0.82,65.7,Female,Yes,2,Not Graduate,Yes,5389,4628,,480,1.0,Semiurban,Y
LP000063,WSHG0188,18,11,20098.41,0.78,81.8,Female,No,0,Graduate,No,8397,2062,,300,1.0,Rural,Y
LP000064,WSHG0199,12,5,34635.33,0.94,67.8,Female,Yes,0,Graduate,Yes,2826,3046,203.0,360,1.0,Semiurban,Y
LP000065,WSHG0172,13,4,7959.46,0.66,57.4,Female,Yes,1,Not Graduate,Yes,7401,4399,364.0,360,0.0,Rural,N
LP000066,WSHG0008,18,7,40665.95,0.61,79.8,Female,Yes,1,Graduate,No,4858,3558,124.0,240,1.0,Rural,Y
LP000067,WSHG0175,19,5,45726.84,0.78,90.7,Female,Yes,1,Graduate,No,3085,4511,246.0,360,1.0,Rural,Y
LP000068,WSHG0035,15,10,22081.23,0.69,69.1,Female,No,1,Graduate,Yes,7145,304,140.0,360,,Urban,N
LP000069,WSHG0081,11,14,77302.16,0.62,56.6,Female,Yes,3+,Graduate,No,1888,4908,382.0,360,0.0,Rural,N
LP000070,WSHG0164,16,4,73209.1,0.89,59.8,Female,Yes,2,Graduate,Yes,4291,2847,209.0,180,1.0,Rural,Y
LP000071,WSHG0050,11,2,59160.74,0.64,61.9,Female,Yes,0,Graduate,Yes,4832,2435,192.0,480,1.0,Rural,N
LP000072,WSHG0104,11,4,45004.0,0.84,65.0,Female,Yes,1,Not Graduate,Yes,2203,2804,148.0,300,0.0,Semiurban,N
LP000073,WSHG0132,10,12,70247.69,0.71,82.1,Female,Yes,3+,Not Graduate,Yes,7334,1984,354.0,360,0.0,Urban,N
LP000074,WSHG0002,12,2,14798.93,0.67,80.0,Female,Yes,1,Graduate,No,4320,3936,257.0,360,0.0,Rural,N
LP000075,WSHG0134,15,8,64288.23,0.75,84.8,Female,Yes,0,Not Graduate,Yes,9553,712,174.0,300,1.0,Rural,Y
LP000076,WSHG0054,17,3,14361.56,0.92,68.1,Female,Yes,2,Not Graduate,Yes,6459,2895,337.0,360,1.0,Urban,Y
LP000077,WSHG0106,18,9,64565.8,0.76,91.2,Female,Yes,2,Not Graduate,Yes,2559,1681,171.0,480,1.0,Semiurban,Y
LP000078,WSHG0004,16,13,25682.57,0.9,60.2,Female,Yes,1,Graduate,Yes,10990,1333,151.0,300,1.0,Semiurban,Y
LP000079,WSHG0054,13,4,70781.79,0.65,73.5,Female,No,0,Graduate,Yes,2801,3198,314.0,300,0.0,Rural,N
LP000080,WSHG0191,15,13,75803.16,0.91,90.0,Female,Yes,0,Not Graduate,Yes,10365,174,255.0,480,0.0,Rural,N
LP000081,WSHG0146,14,6,16159.7,0.69,59.0,Female,Yes,2,Not Graduate,No,9196,3205,389.0,240,,Semiurban,Y
LP000082,WSHG0044,17,10,39700.67,0.87,55.5,Female,Yes,0,Not Graduate,Yes,5799,1416,286.0,120,1.0,Semiurban,Y
LP000083,WSHG0162,10,5,78574.05,0.83,94.2,Female,Yes,1,Not Graduate,Yes,7571,1987,314.0,480,1.0,Semiurban,Y
LP000084,WSHG0190,10,10,41255.56,0.97,67.1,Female,No,1,Graduate,Yes,5612,4853,194.0,360,1.0,Rural,Y
LP000085,WSHG0014,15,13,69766.06,0.75,84.2,Female,Yes,0,Not Graduate,Yes,9381,1772,250.0,480,1.0,Semiurban,Y
LP000086,WSHG0095,19,1,49154.86,0.63,51.3,Female,No,3+,Graduate,Yes,10708,4266,98.0,180,1.0,Urban,Y
LP000087,WSHG0048,11,9,33149.74,0.61,84.5,Female,Yes,2,Graduate,No,9901,1074,338.0,240,1.0,Urban,Y
LP000088,WSHG0015,14,1,26433.77,0.93,65.8,Female,Yes,2,Not Graduate,No,1998,4760,253.0,180,1.0,Rural,Y
LP000089,WSHG0200,10,8,20241.73,0.81,52.8,Female,No,0,Graduate,Yes,10120,591,153.0,360,1.0,Semiurban,Y
LP000090,WSHG0190,16,9,62134.86,0.91,80.5,Female,Yes,0,Not Graduate,Yes,8745,2978,373.0,360,0.0,Semiurban,Y
LP000091,WSHG0040,10,9,33990.54,0.69,62.0,Female,Yes,1,Not Graduate,No,3605,3982,368.0,300,1.0,Urban,Y
LP000092,WSHG0082,13,1,43345.66,0.74,69.3,Female,Yes,0,Graduate,Yes,11245,2410,41.0,180,0.0,Semiurban,N
LP000093,WSHG0111,18,2,41924.41,0.61,54.0,Female,No,3+,Not Graduate,Yes,6827,847,81.0,360,1.0,Urban,Y
LP000094,WSHG0053,10,12,48295.93,0.98,57.4,Female,Yes,0,Not Graduate,Yes,7130,493,158.0,360,1.0,Urban,Y
LP000095,WSHG0024,13,13,69918.29,0.87,64.9,Female,No,1,Not Graduate,No,4706,545,164.0,180,,Rural,Y
LP000096,WSHG0154,15,1,78555.45,0.97,54.5,Female,Yes,1,Graduate,Yes,8637,4999,174.0,480,1.0,Semiurban,Y
LP000097,WSHG0188,15,10,35568.82,0.71,95.5,Female,No,2,Graduate,No,4069,2286,156.0,240,1.0,Semiurban,Y
LP000098,WSHG0124,17,2,67063.92,0.84,50.3,Female,Yes,0,Graduate,No,4128,2697,255.0,360,1.0,Rural,Y
LP000099,WSHG0041,10,10,62339.58,0.87,74.2,Female,No,1,Graduate,Yes,11568,3837,100.0,360,1.0,Rural,Y
LP000100,WSHG0157,16,12,48014.67,0.73,56.2,Female,Yes,0,Graduate,No,8264,1540,302.0,360,1.0,Rural,Y
LP000101,WSHG0015,10,8,76703.54,0.94,65.4,Female,No,3+,Not Graduate,No,2567,883,216.0,240,1.0,Semiurban,Y
LP000102,WSHG0045,16,5,20035.59,0.98,96.3,Female,Yes,0,Graduate,Yes,3006,3956,32.0,300,1.0,Rural,Y
LP000103,WSHG0065,12,12,13194.82,0.95,58.1,Female,Yes,3+,Not Graduate,Yes,4513,3094,314.0,360,1.0,Urban,Y
LP000104,WSHG0089,17,11,69047.15,0.9,98.3,Female,Yes,2,Graduate,Yes,11359,2365,51.0,240,1.0,Semiurban,Y
LP000105,WSHG0071,12,7,37936.24,0.71,60.3,Female,Yes,0,Not Graduate,Yes,8142,3347,195.0,360,1.0,Semiurban,Y
LP000106,WSHG0009,10,2,68522.66,0.71,87.1,Female,Yes,2,Not Graduate,Yes,5566,3071,339.0,480,1.0,Rural,Y
LP000107,WSHG0088,17,8,71981.77,0.99,77.3,Female,No,0,Graduate,Yes,2447,3675,392.0,480,0.0,Semiurban,Y
LP000108,WSHG0129,12,11,9684.32,0.6,94.2,Female,,3+,Graduate,Yes,5889,4715,275.0,360,1.0,Rural,Y
LP000109,WSHG0136,11,6,71259.86,0.89,77.7,Female,Yes,1,Not Graduate,,9643,952,263.0,360,0.0,Rural,Y
LP000110,WSHG0063,10,8,38623.93,0.88,76.7,Female,No,1,Not Graduate,Yes,2671,3300,354.0,480,1.0,Urban,Y
LP000111,WSHG0139,12,1,43282.44,0.85,59.8,Female,Yes,1,Not Graduate,Yes,7614,3735,187.0,300,1.0,Semiurban,Y
LP000112,WSHG0081,11,1,51994.44,1.0,58.3,Female,Yes,0,Graduate,Yes,1671,3179,180.0,240,1.0,Rural,Y
LP000113,WSHG0136,11,12,74478.7,0.72,95.8,Female,No,3+,Graduate,Yes,7182,2963,242.0,180,1.0,Urban,Y
LP000114,WSHG0163,15,7,6433.71,0.74,66.4,Female,No,0,Not Graduate,Yes,10835,4027,247.0,180,0.0,Rural,N
LP000115,WSHG0163,10,8,40763.26,0.63,68.6,Female,No,2,Not Graduate,Yes,11551,3247,275.0,360,0.0,Rural,N
LP000116,WSHG0033,11,13,56579.15,0.78,88.0,Female,Yes,1,Not Graduate,Yes,7356,4415,332.0,360,0.0,Semiurban,N
LP000117,WSHG0123,15,3,59203.02,0.7,66.9,Female,No,3+,Not Graduate,No,7709,3357,305.0,360,0.0,Rural,N
LP000118,WSHG0005,12,5,56939.93,0.74,97.6,Female,Yes,0,Not Graduate,No,11880,4971,180.0,360,1.0,Semiurban,Y
LP000119,WSHG0041,13,12,15082.63,0.93,86.9,Female,Yes,1,Graduate,,5077,4848,225.0,360,1.0,Semiurban,Y
LP000120,WSHG0028,10,1,27454.67,0.97,79.9,Female,Yes,1,Graduate,No,9880,2704,50.0,360,1.0,Semiurban,Y
LP000121,WSHG0135,17,7,31903.66,0.67,94.0,Female,,2,Graduate,No,5576,1037,286.0,120,0.0,Rural,N
LP000122,WSHG0072,16,5,65332.79,0.75,52.5,Female,,0,Not Graduate,Yes,1657,70,46.0,360,,Rural,Y
LP000123,WSHG0012,16,8,25906.99,0.97,62.9,Female,No,0,Graduate,No,9277,2874,80.0,300,0.0,Rural,N
LP000124,WSHG0162,12,13,20802.87,0.62,73.3,Female,Yes,0,Graduate,No,4217,105,299.0,360,1.0,Urban,N
LP000125,WSHG0033,19,8,76808.6,0.64,61.3,Female,Yes,2,Not Graduate,,11662,769,344.0,120,1.0,Rural,Y
LP000126,WSHG0048,19,9,5664.75,0.67,87.2,Female,Yes,0,Not Graduate,Yes,9937,2009,112.0,480,1.0,Rural,Y
LP000127,WSHG0151,12,7,79836.56,0.84,96.0,Female,Yes,1,Not Graduate,Yes,4295,2940,335.0,480,1.0,Urban,Y
LP000128,WSHG0062,11,11,55761.6,0.66,71.2,Female,Yes,0,Not Graduate,Yes,8700,2192,153.0,360,1.0,Semiurban,Y
LP000129,WSHG0037,10,1,67135.2,0.99,67.1,Female,No,3+,Graduate,No,9028,3495,319.0,360,1.0,Urban,Y
LP000130,WSHG0099,16,13,27096.45,0.78,98.1,Female,Yes,,Not Graduate,Yes,3877,4311,291.0,360,0.0,Urban,N
LP000131,WSHG0172,16,3,6073.65,0.8,72.2,Female,Yes,1,Not Graduate,No,10541,4355,394.0,240,1.0,Rural,Y
LP000132,WSHG0104,11,8,60340.21,0.7,74.5,Female,Yes,1,Not Graduate,No,3310,933,78.0,240,1.0,Rural,Y
LP000133,WSHG0035,16,3,67560.84,0.79,67.6,Female,Yes,0,Graduate,No,6690,574,35.0,360,0.0,Rural,N
LP000134,WSHG0193,17,8,60535.71,0.86,95.5,Female,Yes,0,Graduate,No,6932,3930,146.0,180,1.0,Rural,Y
LP000135,WSHG0101,10,1,15713.77,0.9,78.4,Female,No,0,Not Graduate,Yes,9395,4380,147.0,300,1.0,Semiurban,Y
LP000136,WSHG0175,18,5,61507.09,0.9,88.1,Female,Yes,2,Not Graduate,Yes,3626,4087,292.0,300,1.0,Rural,Y
LP000137,WSHG0131,16,4,62669.21,0.83,90.6,Female,No,1,Not Graduate,No,8453,2531,382.0,300,1.0,Semiurban,Y
LP000138,WSHG0001,12,5,54390.54,0.96,67.1,Female,Yes,3+,Not Graduate,Yes,4530,2419,158.0,240,1.0,Rural,Y
LP000139,WSHG0005,17,8,62458.69,0.93,71.7,Female,Yes,1,Not Graduate,Yes,7823,69,200.0,300,0.0,Rural,N
LP000140,WSHG0142,16,10,68444.11,0.9,92.4,Female,Yes,2,Not Graduate,No,7247,4474,56.0,300,1.0,Semiurban,Y
LP000141,WSHG0103,17,14,51020.31,0.62,68.2,Female,No,1,Not Graduate,No,11999,1302,228.0,300,1.0,Rural,Y
LP000142,WSHG0027,15,4,11645.35,0.6,89.7,Female,No,1,Graduate,Yes,7105,3814,343.0,360,1.0,Semiurban,Y
LP000143,WSHG0137,18,11,41572.09,0.68,97.0,Female,Yes,0,Not Graduate,No,7391,2349,374.0,480,1.0,Urban,Y
LP000144,WSHG0015,14,4,10823.7,0.87,81.2,Female,Yes,1,Not Graduate,No,4576,254,126.0,180,1.0,Semiurban,Y
LP000145,WSHG0090,12,3,35565.73,0.76,87.1,Female,Yes,1,Graduate,Yes,3844,1707,46.0,360,1.0,Rural,Y
LP000146,WSHG0042,12,7,35532.99,0.76,90.3,Female,Yes,2,Graduate,Yes,2119,4787,202.0,240,1.0,Urban,Y
LP000147,WSHG0124,10,3,9950.74,0.95,92.3,Female,No,3+,Graduate,No,3907,833,130.0,360,0.0,Rural,N
LP000148,WSHG0179,17,12,31161.54,0.96,69.8,Female,Yes,1,Not Graduate,Yes,7760,2764,215.0,360,1.0,Semiurban,Y
LP000149,WSHG0063,11,3,13324.86,0.96,52.6,Female,Yes,0,Graduate,Yes,4504,2471,213.0,360,1.0,Rural,Y
LP000150,WSHG0096,12,11,65617.64,0.73,70.1,Female,Yes,1,Not Graduate,Yes,5414,3742,244.0,360,1.0,Rural,Y
LP000151,WSHG0052,17,10,76076.6,0.88,83.7,Female,Yes,1,Graduate,No,5096,2035,280.0,300,1.0,Urban,Y
LP000152,WSHG0096,17,5,10423.74,0.71,72.5,Female,Yes,0,Graduate,Yes,11369,1967,245.0,300,0.0,Rural,N
LP000153,WSHG0132,13,5,76633.64,0.68,87.4,Female,,2,Not Graduate,Yes,5539,99,58.0,360,1.0,Urban,Y
LP000154,WSHG0151,13,14,44193.24,0.67,67.8,Female,No,3+,Graduate,Yes,2804,1852,131.0,240,1.0,Rural,Y
LP000155,WSHG0143,14,6,27467.43,0.74,81.7,Female,No,3+,Not Graduate,No,7130,3183,152.0,240,1.0,Urban,Y
LP000156,WSHG0171,15,8,10764.66,0.77,59.3,Female,Yes,,Not Graduate,Yes,8782,2355,83.0,120,1.0,Urban,N
LP000157,WSHG0029,14,10,42546.82,0.93,87.5,Female,No,3+,Not Graduate,Yes,11655,111,312.0,240,1.0,Rural,Y
LP000158,WSHG0036,16,6,64588.67,0.65,77.3,Female,Yes,2,Graduate,,4807,3158,131.0,360,1.0,Semiurban,Y
LP000159,WSHG0013,11,12,58031.49,0.89,60.2,Female,Yes,1,Not Graduate,Yes,2861,182,146.0,360,,Semiurban,N
LP000160,WSHG0160,16,1,8766.95,0.81,64.6,Female,Yes,1,Not Graduate,No,8165,3852,133.0,240,1.0,Urban,N
LP000161,WSHG0071,19,8,10467.64,0.72,87.4,Female,Yes,2,Not Graduate,No,5794,164,74.0,180,1.0,Rural,Y
LP000162,WSHG0187,16,8,35215.5,0.8,74.1,Female,Yes,1,Not Graduate,No,3287,2137,143.0,360,1.0,Semiurban,Y
LP000163,WSHG0086,10,9,27146.79,0.72,60.8,Female,Yes,1,Not Graduate,Yes,2573,2023,372.0,360,1.0,Rural,N
LP000164,WSHG0028,16,9,22428.82,0.84,98.4,Female,Yes,1,Not Graduate,No,10857,454,60.0,480,1.0,Rural,Y
LP000165,WSHG0066,14,2,26075.34,0.77,85.8,Female,No,1,Not Graduate,No,7402,2285,193.0,480,1.0,Rural,Y
LP000166,WSHG0170,12,2,65261.21,0.67,97.9,Female,Yes,0,Graduate,No,5099,4822,218.0,480,1.0,Semiurban,Y
LP000167,WSHG0045,12,3,74692.1,0.65,71.4,Female,Yes,3+,Graduate,Yes,4555,541,322.0,360,0.0,Urban,N
LP000168,WSHG0062,13,1,35382.7,0.82,73.8,Female,Yes,2,Graduate,No,7976,2665,224.0,360,1.0,Rural,N
LP000169,WSHG0185,11,4,72958.33,0.96,94.9,Female,Yes,2,Graduate,Yes,2159,2449,321.0,180,0.0,Semiurban,N
LP000170,WSHG0134,11,14,29112.18,0.74,76.3,Female,Yes,0,Graduate,Yes,7820,4937,290.0,360,1.0,Semiurban,Y
LP000171,WSHG0028,10,4,40732.77,0.89,85.4,Female,No,2,Graduate,Yes,8013,3933,236.0,180,1.0,Rural,Y
LP000172,WSHG0028,14,14,21952.17,0.86,62.6,Female,Yes,0,Not Graduate,No,6142,2886,81.0,360,1.0,Urban,Y
LP000173,WSHG0108,13,9,53035.7,0.97,72.3,Female,Yes,0,Graduate,Yes,10821,4614,78.0,300,1.0,Rural,Y
LP000174,WSHG0044,19,9,78423.58,0.93,56.2,Female,Yes,1,Not Graduate,Yes,7873,4292,35.0,360,1.0,Rural,Y
LP000175,WSHG0084,11,9,50261.98,0.83,60.3,Female,Yes,1,Graduate,No,11966,3904,253.0,180,1.0,Rural,Y
LP000176,WSHG0030,12,10,31836.06,0.86,50.0,Female,Yes,1,Graduate,Yes,5966,1688,52.0,360,1.0,Urban,Y
LP000177,WSHG0190,16,7,53586.31,0.96,52.0,Female,Yes,0,Graduate,No,11160,1637,174.0,300,0.0,Urban,N
LP000178,WSHG0075,16,14,14219.05,0.76,98.9,Female,Yes,1,Graduate,Yes,7087,4728,139.0,240,1.0,Rural,Y
LP000179,WSHG0128,13,2,71649.43,0.73,62.1,Female,Yes,0,Not Graduate,Yes,11794,4670,241.0,300,1.0,Rural,N
LP000180,WSHG0092,14,10,42731.3,0.6,83.2,Female,Yes,3+,Not Graduate,No,3971,4082,,120,0.0,Semiurban,N
LP000181,WSHG0190,14,5,38701.23,0.93,92.0,Female,No,1,Graduate,No,10843,1890,70.0,300,1.0,Semiurban,Y
LP000182,WSHG0129,15,4,48939.86,0.92,77.5,Female,Yes,2,Not Graduate,Yes,7675,3205,201.0,300,,Semiurban,Y
LP000183,WSHG0121,18,12,51858.79,0.64,57.7,Female,No,1,Not Graduate,No,9784,477,215.0,360,1.0,Urban,Y
LP000184,WSHG0027,11,11,10383.19,0.83,86.4,Female,No,0,Not Graduate,Yes,2781,2366,243.0,300,1.0,Urban,Y
LP000185,WSHG0190,14,8,56196.29,0.79,80.0,Female,Yes,3+,Not Graduate,,4677,2526,335.0,300,1.0,Urban,Y
LP000186,WSHG0121,12,2,23144.88,0.65,86.6,Female,Yes,0,Not Graduate,Yes,7167,366,81.0,480,1.0,Semiurban,Y
LP000187,WSHG0116,13,6,58546.45,0.99,88.5,Female,Yes,1,Not Graduate,Yes,6011,1836,99.0,360,0.0,Rural,Y
LP000188,WSHG0003,19,13,66690.11,0.69,98.8,Female,No,2,Not Graduate,Yes,5381,1715,225.0,300,1.0,Semiurban,Y
LP000189,WSHG0103,15,5,65296.89,0.63,78.7,Female,Yes,,Graduate,Yes,3913,12,180.0,300,,Rural,Y
LP000190,WSHG0198,17,12,46437.57,0.84,67.1,Female,No,2,Graduate,Yes,3044,535,138.0,360,1.0,Rural,N
LP000191,WSHG0200,10,2,44012.74,0.9,82.4,Female,No,1,Not Graduate,Yes,6284,3239,147.0,300,1.0,Rural,Y
LP000192,WSHG0155,19,11,15715.7,0.61,53.4,Female,No,0,Not Graduate,Yes,7261,2317,394.0,300,0.0,Semiurban,N
LP000193,WSHG0137,17,10,63150.96,0.86,94.9,Female,Yes,0,Not Graduate,Yes,9374,4042,124.0,360,1.0,Semiurban,Y
LP000194,WSHG0062,16,1,25355.7,0.81,56.0,Female,Yes,0,Not Graduate,No,11750,375,285.0,180,1.0,Semiurban,N
LP000195,WSHG0165,10,8,42252.16,0.64,66.4,Female,No,,Graduate,No,8461,1724,73.0,360,1.0,Rural,Y
LP000196,WSHG0051,11,2,26320.56,0.67,90.8,Female,Yes,2,Not Graduate,Yes,7126,256,96.0,300,1.0,Semiurban,Y
LP000197,WSHG0172,12,7,15037.13,0.83,79.9,Female,Yes,0,Not Graduate,No,6014,2264,185.0,360,1.0,Rural,Y
